CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2014/07/004722,"Phase III clinical trial comparing safety and efficacy of BCD-022 (CJSC BIOCAD, Russia) used with paclitaxel to HerceptinÂ® used with paclitaxel in the first-line treatment of HER2 positive metastatic breast cancer patients.",Interventional,"Total: Completed
Indian: Completed",Patients with HER2-positive metastatic breast cancer.,"BCD-022 (trastuzumab manufactured by CJSC BIOCAD, Russia)","Manas Hospital ,MAHARASHTRA

Acharya Harihar Cancer Reaerch Institute Cuttack,ORISSA

Acharya Tulsi hospital, Bikaner, Rajathan,RAJASTHAN

AIIMS Bhubhaneshwar ,ORISSA

BGS Global- Bangalore,KARNATAKA

City Cancer Centre,ANDHRA PRADESH

Dayanad Medical College and hospital ,PUNJAB

Fortis Hospital,UTTAR PRADESH

HCG-Bangalore Institute of Oncology,KARNATAKA

HCG-Delhi,DELHI

Indira Gandhi Institute of Medical Science,BIHAR

King George Medical College,,UTTAR PRADESH

Manipal Hospital, Mangalore,KARNATAKA

Meeenakshi Mission Hospital And Research Centre,TAMIL NADU

Noble Hospital,,MAHARASHTRA

NRS Medical College,Kolkata ,WEST BENGAL

RG Kar Medical College and Hospita,WEST BENGAL

Sahyadri Speciality hospital, Pune,MAHARASHTRA

Sri Ramachandra Hospital,,TAMIL NADU

Sri Venkateshwara Hospital,KARNATAKA

Srinivassam cancer care Hospita,KARNATAKA

Sujan Surgical cancer hospital and Amravati cancer foundation,MAHARASHTRA"
CTRI/2014/06/004692,Comparison of two techniques for pain relief after breast cancer surgery,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",breast cancer surgery,thoracic paravertebral block,"operation theatre,CHANDIGARH"
CTRI/2014/05/004591,Homeopathy in cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Cancer,Individualized homeopathic medicines in 50 millesimal potencies,"Medicine out-patient Room no. 3 every Monday 9 am to 2 pm,WEST BENGAL"
CTRI/2014/07/004767,To assess response of tumor to chemotherapy given before surgery by using PET CT scan.,Observational,"Total: Not Applicable
Indian: Completed",Patients taking treatment of cancer,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/07/004776,Analysis of patients who have already received Chemo & radiation for esophageal & gastroesophageal junction cancer,Observational,"Total: Not Applicable
Indian: Completed",Esophageal & Gastroesophageal cancer patients who have already received chemoradiation,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2017/10/010206,"Comparison of efficacy, safety of BCD-021 compared with AvastinÂ® administered in combination with paclitaxel and carboplatin in a first-line treatment of inoperable or advanced non-squamous NSCLC patients.",Interventional,"Total: Not Applicable
Indian: Completed",Patients with inoperable or advanced non-squamous non-small-cell lung cancer.,"BCD-021 (INN bevacizumab, CJSC BIOCAD, Russia)","Acharya Tulsi Regional Cancer Treatment & Research Institute, Bikaner,RAJASTHAN

AIIMS Bubaneshwar,ORISSA

Apollo Hospital Ahemdhabad,GUJARAT

B.J Govt Medical college and Sassoon General Hospital Pune ,MAHARASHTRA

Bharath Hospital and Institute of Oncology,KARNATAKA

City Cancer Centre Vijaywada,ANDHRA PRADESH

Curie Manavata Cancer centre,MAHARASHTRA

Dr. B.L Kapur Memorial Hospital, ,DELHI

HCG-Bangalore Institute of Oncology,,KARNATAKA

Institute of Post Graduate Medical Education & Research and SSKM Hospital,WEST BENGAL

Kasturba Medical College,KARNATAKA

King George Medical University,UTTAR PRADESH

KLE Belgavi,KARNATAKA

Kokilaben Dhirubhai Ambani Hospital,MAHARASHTRA

Kolkata Medical College & Hospital,,WEST BENGAL

Marathwada Regional Cancer Center & Research Institute,MAHARASHTRA

Marudhar Hospital,RAJASTHAN

Maulana Azad Medical College, Lok Nayak Hospital, New Delhi,DELHI

Meenakshi Mission Hospital and Research Centre ,TAMIL NADU

N.R.S. Medical College & Hospital,WEST BENGAL

Netaji Subjash Chandra Bose Cancer Research Institute,WEST BENGAL

Nizams Institute of Medical Sciences ,ANDHRA PRADESH

Noble Hospital Chennai,TAMIL NADU

R.G KAR,WEST BENGAL

Rajalakshmi Multi specialty Hospital,KARNATAKA

Ruby Hall Clinic, Pune,MAHARASHTRA

Sapthagiri Institute of Medical Sciences & Research centre,KARNATAKA

Shalby Hospitals,GUJARAT

Shatabdi Super Speciality Hospital,MAHARASHTRA

Shree Hospital Pune,MAHARASHTRA

SMS government Hospital,RAJASTHAN

Sri Ramachandra Medical Hospital,TAMIL NADU

Sujan Surgicals Cancer Hospital and Amravati Cancer foundation ,MAHARASHTRA

Yashodha Hospital,ANDHRA PRADESH"
CTRI/2014/05/004597,Effect of recruitment of ventilated lung during one ventilation during oesphageal surgery on blood oxygen levels,Interventional,"Total: Not Applicable
Indian: Completed",Patients with eosophageal cancer undergoing VATS oesophagectomy,Alveolar Recruitment Manouvre (ARM),"Operation theatre complex, Tata memorial hospital,MAHARASHTRA"
CTRI/2016/08/007161,To compare cause specific survival in control transarterial chemotherapy and transarterial chemotherapy Plus stereotactic body radiation therapy in Hepatocelluar carcinoma,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Liver Cancer,Arm 1. DEB TACE,"ACTREC Tata Memorial Centre Kharghar,MAHARASHTRA"
CTRI/2016/02/006654,Is a routine upper GI contrast study required for every patient after an oesophageal anastomosis?,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Esophageal Cancer and gastric cancer

Other specified diseases of stomach and duodenum",Upper GI contrast study between post operative day 5-7 in one group.,"Christian Medical College, Vellore Wards-P3/P1/A/O6E,TAMIL NADU"
CTRI/2014/08/004920,A Trial intended to study the role of sentinel node biopsy technique in women with breast cancer who have had prior surgery for a breast lump,Interventional,"Total: Not Applicable
Indian: Completed",Breast cancer patients-post lumpectomy,Sentinel lymph node biopsy,"Regional cancer center,KERALA"
CTRI/2014/09/004943,A clinical trial to study the preventive effect of zoledronic acid therapy on drug induced bone loss in breast cancer,Interventional,"Total: Not Applicable
Indian: Completed","postmenopausal hormone receptor positive early breast cancer (stage I-IIIA) patients, who had had primary surgery, did not have recurrent or metastatic disease treated with aromatase inhibitor",Zoledronic acid,"Sir Sunderlal Hospital,UTTAR PRADESH"
CTRI/2014/10/005111,Study to see changes in volume of tumor and normal structures,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Patients with locally advanced oropharyngeal cancers,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/02/011851,"A clinical trial to study the role of MRI, gray scale and colour Doppler ultrasound in evaluating how patients with breast cancer respond to chemotherapy given before surgery",Observational,"Total: Not Applicable
Indian: Completed",Breast cancer,,"All India Institute of Medical Sciences,DELHI"
CTRI/2014/07/004719,To study control and survival rates in tongue cancer patients,Observational,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Tongue Cancer,,"MAX Balaji Super Speciality Hospital,DELHI"
CTRI/2017/11/010723,Effect of fluoride varnish and saliva substitute on tooth decay after radiotherapy in head and neck cancer patients,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Head and neck cancer patients who will be requiring radiotherapy

Malignant neoplasm of overlappingsites of other and unspecified parts of mouth",Saliva Substitute and fluoride varnish,"Oral Health Sciences Centre, PGIMER,,CHANDIGARH"
CTRI/2014/08/004909,"A two stage, randomized, multicentric, open-label, multiple dose, two-treatment, two-sequence, two-period, crossover, steady state bioequivalence study of test Nilutamide 150 Mg tablets with reference Nilandron 150 mg tablets",BA/BE,"Total: Not Applicable
Indian: Not Yet Recruiting",Prostate cancer patients,Nilutamide 150 Mg tablets,"1) Grant Medical Foundation Ruby Hall Clinic 2) Ruby Hall Clinic Services Pvt. Ltd. ,MAHARASHTRA

Baraskar hospital and research centre.,MAHARASHTRA

Curie Manavata Cancer Centre,MAHARASHTRA

HCG Bangalore Institute of Oncology, Bangalore,KARNATAKA

Jehangir Clinical Development Centre Pvt. Ltd., Pune,MAHARASHTRA

Karnataka Cancer Hospital, Bangalore ,KARNATAKA

Lifepoint multispecialty hospital,MAHARASHTRA

Tata Memorial Centre, Kharghar,MAHARASHTRA"
CTRI/2014/12/005250,Expanded treatment protocol to find out if the drug LDK378 is safe in people who have a particular type of lung cancer called â€˜ALK positiveâ€™ non-small cell lung cancer,Interventional,"Total: Completed
Indian: Completed",adult patients with non-small cell lung cancer (NSCLC) ALK positivity,LDK378,"Rajiv Gandhi Cancer Center,DELHI"
CTRI/2014/10/005128,"A multicenter, open label, balanced, randomized, two treatment, Two sequence, single dose, crossover biostudy in breast cancer patient.",BA/BE,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast cancer after failure of combination chemotherapy for metastatic disease or relapse within 6 months of adjuvant chemotherapy.,"PacliALL (Paclitaxel protein-bound particles for injectable suspension) manufactured by Panacea Biotec Ltd., India","Apex Hospital ,RAJASTHAN

Central India Cancer Research Institute,MAHARASHTRA

Somani Hospital,RAJASTHAN

Vardhman Mahavir Medical College & Sufdurjung Hospital,DELHI"
CTRI/2015/01/005352,A STUDY TO FIND OUT THE INCIDENCE AND RISK FACTORS ASSOCIATED WITH ICU DELIRIUM (ALTERED MENTAL STATUS)IN INDIAN CANCER PATIENTS.,Observational,"Total: Not Applicable
Indian: Open to Recruitment","Pts with diagnosed cancer in ICU, Adult pts (Age 18 yrs), English/Hindi/Marathi languages speaking pts.",,"Tata Memorial Centre,MAHARASHTRA"
CTRI/2014/09/005007,Comparing the Safety and Efficacy of USV Pegfilgrastim and NeulastaÂ® in Breast Cancer Patients,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Chemotherapy-induced neutropenia in breast cancer,USV PEG-Filgrastim,"B. J. Govt. Medical College and Sassoon General Hospital,MAHARASHTRA

Central India Cancer Research Institute ,MAHARASHTRA

City Cancer Centre ,ANDHRA PRADESH

Curie Manavata Cancer Centre,MAHARASHTRA

Govt. Medical College and Hospital, Nagpur,MAHARASHTRA

Karnataka Cancer Hospital & Research Centre,KARNATAKA

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

Shri Ramchandra Medical Centre,TAMIL NADU"
CTRI/2014/07/004786,A Study of PF-05280014 [Trastuzumab-Pfizer] or HerceptinÂ® [Trastuzumab-EU] Plus Paclitaxel in HER2 Positive First Line Metastatic Breast Cancer Treatment,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants",Metastatic Breast Cancer,"PF-05280014

Paclitaxel","Acharya Harihar Regional Cancer Centre,ORISSA

Andhra Medical College, King George Hospital,ANDHRA PRADESH

Deenanath Mangeshkar Hospital & Research Centre,MAHARASHTRA

Manipal Centre for Clinical Research, Kasturba Hospital,KARNATAKA

Manipal Hospital,KARNATAKA

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

P. D. Hinduja National Hospital & Medical Research Centre,MAHARASHTRA

Sahyadri Speciality Hospital,MAHARASHTRA

Shatabdi Super Speciality Hospital,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/08/004843,Phase 4 study of Panitumumab in advanced colorectal cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Malignant neoplasm of colon, unspecified

metastatic colorectal cancer",Panitumumab,"Curie Manavata Cancer Centre,MAHARASHTRA

Dr. BRA-IRCH, AIIMS, New Dehi,DELHI

Dr. Rai Memorial Medical Centre,TAMIL NADU

Fortis Hospital, Ludhiana,PUNJAB

HCG Bangalore Institute of Oncology,KARNATAKA

HCG City Cancer Centre, Vijayawada,ANDHRA PRADESH

HCG NCHRI Cancer Centre,MAHARASHTRA

Jehangir Clinical Development Centre Pvt. Ltd,MAHARASHTRA

King Geroges Medical University,UTTAR PRADESH

Meenakshi Mission Hospital and Research Centre, Madurai,TAMIL NADU

Metro-Asian Cancer Research Institute, Metro Mas Hospital ,RAJASTHAN

MNJ Institute of Oncology and Regional Cancer Centre, Hyderabad ,TELANGANA

Shatabdi Super Speciality Hospital,MAHARASHTRA

Sir Ganga Ram Hospital,DELHI

Tata Medical Centre,WEST BENGAL

Tata Memorial Hospital, Mumbai,MAHARASHTRA"
CTRI/2014/10/005130,"To study the effect of two drugs â€“ Capecitabine 500 mg (Test product by Reliance Life Sciences Pvt. Ltd., India) and XelodaÂ® (Capecitabine 500 mg by Roche Pharma AG, Germany)",BA/BE,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Patients of locally advanced or metastatic breast cancer or metastatic colorectal cancer or post-surgery stage III (Dukesâ€™ stage C) colon cancer,Capecitabine 500mg (Relicitabine),"Advanced Centre For Treatment Research & ,MAHARASHTRA

B. J. Govt. Medical College & ,MAHARASHTRA

BIBI Cancer Hospital, & Cancer Centre,ANDHRA PRADESH

Columbia cancer Hospital & Research Centre,MAHARASHTRA

Curie Manavata Cancer Institute,MAHARASHTRA

Dr. Baraskar Hospital and Cancer Care Center,MAHARASHTRA

HCG Cancer Centre,GUJARAT

Jawaharlal Nehru Institute of ,PONDICHERRY

Mahatma Gandhi Cancer Hospital,ANDHRA PRADESH

Meenakshi Mission Hospital,TAMIL NADU

MNJ Institute of Oncology & ,ANDHRA PRADESH

Rajiv Gandhi Government General Hospital,TAMIL NADU

Sujan Surgical Cancer Hospital & Amravati Cancer Foundation,,MAHARASHTRA"
CTRI/2014/08/004846,A study to compare Skin toxicity with Erlotinib Vs Gefitinib in Lung cancer patients.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",All Patients who are having Lung cancer,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/09/004972,"Breast Cancer Registry to collect epidemiological data, treatment patterns & outcomes of breast cancer patients in India",Observational,"Total: Not Applicable
Indian: Open to Recruitment",Breast Cancer Patients,,"Birla Cancer Center,RAJASTHAN

BLK Super Speciality Hospital,DELHI

Fortis Hospital, Mulund,MAHARASHTRA

Fortis Memorial Research Institute,HARYANA

INDRAPRASTHA APOLLO HOSPITALS,DELHI

P.D Hinduja National Hospital and Medical Research,MAHARASHTRA

Prateeksha Oncology Clinic,KERALA

Rajiv Gandhi Cancer Institute & Research Centre,DELHI

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/08/004889,Using narratives to enable adolescents with advanced cancer express their perceptions about their life after the diagnosis and possible adverse prognosis of cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Adolescents with advanced cancer on palliative care,"Diary writing,semi structured interview","Department of Palliative Medicine, Room G 75, Main Building, Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/08/004907,Single arm trial with afatinib to assess its safety in patients with non-small cell lung cancer(NSCLC)harboring EGFR mutation(s),Interventional,"Total: Closed to Recruitment of Participants
Indian: Completed",Locally Advanced or Metastatic Non small cell lung cancer,"Afatinib 20mg,30mg and 40mg film coated tablets","Acharya Harihar Regional Cancer Research Centre,ORISSA

Acharya Tulsi Regional Cancer Treatment & Research Institute,RAJASTHAN

Asirvatham Speciality Hospital,TAMIL NADU

B P Poddar Hospital and Medical Research Ltd,WEST BENGAL

Basavatarakam Indo American Cancer Hospital and Research Centre,ANDHRA PRADESH

Birla Cancer Centre ,RAJASTHAN

Christian Medical College,TAMIL NADU

Curie Manavata Cancer Centre,MAHARASHTRA

Fortis Hospital,MAHARASHTRA

Geetanjali Cancer Centre,RAJASTHAN

Global Hospitals,ANDHRA PRADESH

Healthcare Global Enterprise Ltd,KARNATAKA

Madras Medical College and Rajiv Gandhi Govt General Hospital,TAMIL NADU

Manipal Hospital,KARNATAKA

Max Superspeciality Hospital, Unit of Balaji Medical and Diagnostic Centre,N/A

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

Prince Aly Khan Hospital,MAHARASHTRA

PVS Hospital,KERALA

Ruby Hall Clinic,MAHARASHTRA

SEROC Cancer Centre, Soni Hospital Pvt Ltd,RAJASTHAN

Shatabdi Superspeciality Hospital,MAHARASHTRA

Tata Memorial Hospital ,MAHARASHTRA

V S Hospital,TAMIL NADU

Vikram Hospital,KARNATAKA"
CTRI/2014/08/004868,A clinical trial intended to compare safety and efficacy of two formulations in patients with metastatic Colorectal Cancer (mCRC).,Interventional,"Total: Completed
Indian: Completed",patients with metastatic ColoRectal Cancer (mCRC),Bevacizumab Biosimilar,"Manibhai Shivabhai Cancer Centre, Karamsad,GUJARAT

Regional Cancer Center, Trivendrum,KERALA

Sri RamaChandra Medical Centre, Chennai,TAMIL NADU

Tata Hospital, Mumbai,MAHARASHTRA"
CTRI/2014/11/005171,"A Clinical trial to evaluate the pharmacokinetics, safety, efficacy and immunogenicity of Bmab-100 and Avastin in patients with metastatic colorectal cancer",Interventional,"Total: Not Applicable
Indian: Completed",In patients with metastatic colorectal cancer (mCRC),Bmab-100,"Apex Hospital Private Limited,RAJASTHAN

Apollo Speciality Hospital,TAMIL NADU

Apple Hospital,GUJARAT

Baraskar Hospital and Research Centre,MAHARASHTRA

BGS Global Hospitals,KARNATAKA

Bhagwan Mahaveer Cancer Hospital & Research Centre, ,RAJASTHAN

BhaktiVedanta Hospital and Research Institute,MAHARASHTRA

BIBI General Hospital and Cancer Centre,,ANDHRA PRADESH

City Cancer Centre,ANDHRA PRADESH

Curie Manavata Cancer Centre,MAHARASHTRA

Deenanath Mangeshkar Hospital & Research Centre,MAHARASHTRA

Department of Medical Oncology, Acharya Tulsi Regional Cancer Institute & Research Centre,,RAJASTHAN

Government Medical College & Hospital,,MAHARASHTRA

Grant Medical Foundation, Ruby Hall Clinic, New Cancer centre,MAHARASHTRA

Health Point Hospital,,WEST BENGAL

Jaslok Hospital and Research Center, ,MAHARASHTRA

Kailash Cancer Hospital & Research Centre,GUJARAT

Kakatiya Hospitals,,ANDHRA PRADESH

King Georgeâ€™s Medical Institute, Lucknow,UTTAR PRADESH

M S Ramaiah Medical College and Hospitals,KARNATAKA

Maulana Azad Medical College, Lok Nayak Hospital,,DELHI

Max Super Speciality Hospital,DELHI

Mazumdar Shaw Medical Centre, Narayana Hrudayalaya Private Limited,,KARNATAKA

Meditrina Hospital,MAHARASHTRA

Meenakshi Mission Hospital & Research Centre,TAMIL NADU

Mysore Medical College and Research Institute (K.R.Hospital),KARNATAKA

ndo-American Cancer Hospital & Research Institute,,ANDHRA PRADESH

Postgraduate Institute of Medical Education & Research,,CHANDIGARH

PVS Hospital (P) Ltd,KERALA

Regional Cancer Centre,KERALA

Seth Nandlal Dhoot Hospita,MAHARASHTRA

Shatabdi Hospital,,MAHARASHTRA

Srinivasam Cancer Care Hospitals India Pvt. Ltd,KARNATAKA

VGM Cancer care ,TAMIL NADU"
CTRI/2014/09/004981,Registry study for metastatic Colorectal Cancer in order to collect information on the efficacy of the different treatment choices in non operable metastatic colorectal cancer across all the treatment modalities.,Observational,"Total: Open to Recruitment
Indian: Not Yet Recruiting",Colorectal Cancer,,"TATA MEMORIAL HOSPITAL,MAHARASHTRA"
CTRI/2014/09/004965,A clinical study to compare the efficacy and safety of SB3 (proposed trastuzumab biosimilar) and HerceptinÂ® in women with HER2 Positive Early or Locally Advanced Breast Cancer.,Interventional,"Total: Completed
Indian: Completed",Breast Cancer - Newly Diagnosed HER2 Positive Early or Locally Advanced Breast Cancer in Neoadjuvant Setting,SB3,"Ahsirvatham Specialty Hospital,TAMIL NADU

Amrita Institute of Medical Sciences,KERALA

Apex Hospital Pvt Ltd,RAJASTHAN

Artemis Health Institute,HARYANA

B.P.Poddar Hospital & Medical Research Ltd,WEST BENGAL

Bhagwan Mahaveer Cancer Hospital & Research Centre,RAJASTHAN

Calcutta Medical College & Hospitals,WEST BENGAL

Deenanath Mangeshkar Hospital and Research Centre,MAHARASHTRA

Fortis Memorial Research Institute,HARYANA

Government Medical College & Hospital,MAHARASHTRA

HCG Bangalore Institute of Oncology,KARNATAKA

HCG Cancer Centre,GUJARAT

Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY

Kasturba Medical College Hospital,KARNATAKA

KEM Hospital Research Centre,MAHARASHTRA

King George Medical University,UTTAR PRADESH

King George Hospital,ANDHRA PRADESH

M S Ramaiah Medical College and Hospitals,KARNATAKA

Maulana Azad Medical College,DELHI

Tata Medical Centre,WEST BENGAL

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/11/005163,THE NEEM LEAF STUDY-TO FIND OUT WHETHER THE NEEM LEAF EXTRACT IS USEFUL IN REDUCING THE IMPACT OF RADIATION INDUCED MUCOSITIS IN ORAL CANCER PATIENTS,Interventional,"Total: Not Applicable
Indian: Completed",RADIATION INDUCED ORAL MUCOSITIS IN ORAL CANCER PATIENTS,Topical Aqueous Azadiracta indica Leaf Extract-(TAAL) Mouth rinse,"AMRITA INSTITUTE OF MEDICAL SCIENCES,KERALA"
CTRI/2015/03/005605,Effector mechanism anti-cancer response of human granulocytes,Observational,"Total: Not Applicable
Indian: Open to Recruitment","Cancer patients at any stage.

Healthy Human Volunteers",Blood test for cell kill assay and effector mechanisms of granulocytes,"Jehangir Clinical Development Center,MAHARASHTRA"
CTRI/2014/09/005042,A Phase III study to compare the safety and efficacy of Bevacizumab against Avastinâ„¢ in Patients with Non-Small Cell Lung Cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Unresectable or Metastatic Non-Squamous Non-Small Cell Lung Cancer,Bevacizumab_Intas,"Acharya Harihar Regional Cancer Centre,ORISSA

All India Institute of Medical Sciences,DELHI

Amrita Institute of Medical Sciences,KERALA

Apple Hospital,GUJARAT

B. J. Govt. Medical College & Sassoon General Hospital,MAHARASHTRA

Batra Hospital & Medical Research Centre,DELHI

BGS Global Hospitals,KARNATAKA

BIBI General Hospital and Cancer Centre,ANDHRA PRADESH

City Cancer Centre,ANDHRA PRADESH

Curie Manavata Cancer Centre,MAHARASHTRA

Dr. Kamakshi Memorial Hospital Pvt. Ltd.,TAMIL NADU

Dr. Rai Memorial Medical Centre,TAMIL NADU

HCG Bangalore Institute of Oncology,KARNATAKA

HCG Cancer centre,GUJARAT

Health Point Multispecialty Hospital,WEST BENGAL

IPGMER and SSKM Hospital,WEST BENGAL

King George Medical University (Erstwhile CSMMU),UTTAR PRADESH

Life Care Hospital,KARNATAKA

Netaji Subhash Chandra Bose Cancer Research Institute,WEST BENGAL

Post Graduate Institute of Medical Education & Research,CHANDIGARH

Prince Aly Khan Hospital,MAHARASHTRA

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Rajiv Gandhi Government General Hospital & Madras Medical College,TAMIL NADU

Regional Cancer Centre, Medical College Campus,KERALA

S.S. Hospital and Research Centre,BIHAR

Sparsh Hospitals & Critical Care Pvt. Ltd.,ORISSA

Srinivasam Cancer Care Hospitals India Pvt. Ltd.,KARNATAKA

Unique Hospital Multispecialty & Research Institute,GUJARAT"
CTRI/2014/09/005041,Study of Comparison of Quality of life Questionnaire in patients receiving chemotherapy and Oral TKI in Advanced Lung Cancer.,PMS,"Total: Not Applicable
Indian: Open to Recruitment",Patients of Advanced Lung cancer,Chemotherapy,"Tata Memorial Hospital ,MAHARASHTRA"
CTRI/2015/04/005709,A clinical trial to study the effectiveness of an oral care protocol in cancer patients receiving chemotherapy and radiation therapy.,Interventional,"Total: Not Applicable
Indian: Completed",Cancer patients admitted for Chemotherapy/Radiation therapy/Chemoradiation,Experimental arm: Oral Care Protocol,"KMC HOSPITAL,KARNATAKA"
CTRI/2015/01/005421,Re audit to see if there is any change in the compliance to Pre operative fasting guidelines in children after education of health care personell.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Paediatric cancer patients undergoing elective oncosurgical procedures and daycare procedures,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/06/005840,How comprehensively 3D ultrasound could be used in a cervical cancer patient to visualize internal organs and position of the device used to hold radioactive source during brachytherapy (internal radiation therapy)?,Interventional,"Total: Not Applicable
Indian: Completed",Cervical cancer patients (age 18 years)prescribed treatment with HDR brachytherapy (intra-cavitary),3D UltraSound device,"Department of Radiotherapy and Oncology,KARNATAKA

Regional Cancer Centre, Trivandrum,KERALA"
CTRI/2014/11/005216,A study to evaluate the factors which predicts the survival of lung cancer patients with their performance status.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Patients of Advanced Lung Cancer,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2016/10/007383,Comparing swallowing function for the older method of tongue surgery and our new method of surgery.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Patient with operable lesion of tongue cancer,mylohyoid preserving glossectomy,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/01/005348,Exercise for the management of the cancer-related fatigue in advanced lung cancer.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Diagnosis of advanced lung cancer (stage IIIâ€“IV NSCLC), declared as unresectable by the multidisciplinary oncology team.","Mixed exercises, which includes resistance exercises and aerobic exercises.","Physiotherapy Department, Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/12/005235,Prevention of acute coronary syndrome by aspirin in patients with breast cancer.,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants",Breast Cancer,Acetyl Salicylic Acid,"Sinha Institute of Medical Science & Technology,WEST BENGAL"
CTRI/2014/11/005227,A study of thromboembolic events in patients of advanced stage lung cancer treated with platinum based chemotherapy.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Advanced stage non small cell lung cancer (NSCLC) patients treated with platinum based chemotherapy.,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2014/12/005333,comparision between Aprepitant and Dexamethasone For Preventing Postoperative Nausea And Vomiting In Breast Cancer Patients,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of breast of unspecified site

Patients scheduled for elective surgery of age 18yrs with breast cancer, ASA grade 1-3",Aprepitant,"DR BRA IRCH,All India Institute of Medical Sciences,DELHI"
CTRI/2015/07/005991,"A Phase III randomized, double-blind, placebo-controlled study of LEE011 or placebo in combination with tamoxifen and goserelin or a non-steroidal aromatase inhibitor (NSAI)and goserelin for the treatment of premenopausal women with hormone receptor positive, HER2-negative, advanced breast cancer",Interventional,"Total: Completed
Indian: Completed",The study will include with HR positive advance breast cancer,LEE011 plus Tamoxifen or NSAI plus Goserelin,"B P Poddar Hospital and Medical Research Limited ,WEST BENGAL

Curie Manavata Cancer Centre,MAHARASHTRA

Healthcare Global Curie Centre of Oncology,KARNATAKA

Jehangir Hospital & Research Center,MAHARASHTRA

Tata Memorial Hospital ,MAHARASHTRA"
CTRI/2017/11/010589,Incidence of tumour cells in lymphatics as effect of breast conservation surgery for breast cancer patinets,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Operable Breast Cancer Female patient,Axilla First appproach arm,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/02/005499,A bioequivalence study comparing Doxorubicin Hydrochloride Liposome Injection 2 mg/ml (MM-436) of Watson Pharma Pvt. Ltd. and Doxorubicin Hydrochloride Liposome Injection 2 mg/ml of Sun Pharma in Patients with Ovarian Cancer.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Ovarian Cancer,Doxorubicin Hydrochloride Liposome Injection (MM 436),"Bibi Genral and Cancer Centre,ANDHRA PRADESH

City Cancer Centre,ANDHRA PRADESH

Dr. GVN Cancer Institute,TAMIL NADU

Erode Cancer Centre,TAMIL NADU

Hematology-Oncology Clinic & Laboratory,MAHARASHTRA

KEM hospital research centre,MAHARASHTRA

Mangal Anand Hospital,MAHARASHTRA

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

Omega Hospitals,ANDHRA PRADESH

Prashanth Hospital,KARNATAKA

Sapthagiri Institute of Medical Sciences and Research Centre,KARNATAKA

Sri Ramachandra Medical Centre,TAMIL NADU

Sri Venakateswara Hospital,KARNATAKA

Srinivasam Cancer Care Hospital India,ANDHRA PRADESH

VGM cancer care centre (a unit of VGM hospital),TAMIL NADU"
